ep,L_total,L_data,L_human,L_kl,acc_tr,acc_va,f1_tr,f1_va,acc_h_tr,f1_h_va,lam_mean,lam_std,rho_mean,c_mean,kl,post_var_mean,grad_norm,grad_scale,ece_tr,brier_tr,auc_tr_ovo
1,1.2964762409167856,1.1472544599907266,1.07837872087975e-06,0.14922070254733807,0.295550289626119,0.2963759213759214,0.2890302587898899,0.2733925163686402,0.4505002632964718,0.10994272035564674,0.9999994247988504,4.1711256133637715e-07,0.5759523450144356,0.9991343869411812,149.22070254733808,0.0002886626815178474,0.38831583356695315,1.0,0.13769587507772257,0.3513124281804117,0.48074272014236125
2,1.2891066851111315,1.1398865877621132,1.0859510361315854e-06,0.14921901139798205,0.2985781990521327,0.2939189189189189,0.2917245446084985,0.27254884760629,0.3512374934175882,0.1688073394495413,0.9999994244790705,4.1734441744345106e-07,0.5759523450144356,0.9996899739977935,149.21901139798206,0.00010335803408407134,0.37073820106340244,1.0,0.12934125978798036,0.3488741354667383,0.48263929007221423
3,1.2823861670336945,1.1331677652723409,1.0815089783272718e-06,0.1492173202523752,0.29989468141126907,0.29084766584766586,0.29258524448560974,0.27099046547275923,0.4505002632964718,0.10994272035564674,0.999999424830719,4.170894427750428e-07,0.5759523450144356,0.999078969412737,149.21732025237517,0.0003071516850154296,0.35426868071811174,1.0,0.12315257555568596,0.34661955536311484,0.4847629492226515
4,1.2762466079466275,1.1270299027112922,1.076125209257123e-06,0.14921562911012617,0.3013428120063191,0.28746928746928746,0.293858086352438,0.26994857549500045,0.4505002632964718,0.10994272035564674,0.9999994244916481,4.17335265474949e-07,0.5759523450144356,0.9996680569731046,149.21562911012617,0.00011066607081999469,0.3388395591829112,1.0,0.1172864747854048,0.34453479793349456,0.4871782094271768
5,1.2706274778076754,1.1214124620268076,1.0778096952758558e-06,0.14921393797117247,0.3063454449710374,0.2800982800982801,0.29842733504600866,0.2657674358118349,0.4505002632964718,0.10994272035564674,0.999999424482363,4.173420031637305e-07,0.5759523450144356,0.9996842233498727,149.21393797117247,0.00010527551840465531,0.3243860968683813,1.0,0.1083009445076125,0.34260668100402253,0.4898634630414063
6,1.2654749473818818,1.1162616236165226,1.0769295555905833e-06,0.14921224683580364,0.3100315955766193,0.27426289926289926,0.30124108572337027,0.2630394700867136,0.4505002632964718,0.10994272035564674,0.9999994244934001,4.1733400542073256e-07,0.5759523450144356,0.9996650905967585,149.21224683580363,0.00011165516741236617,0.31084633230969316,1.0,0.10104346260660894,0.34082278221507734,0.49278943268153635
7,1.2607411820405332,1.1115295502426628,1.076093915379025e-06,0.1492105557039551,0.3168773038441285,0.2714987714987715,0.30728939614314443,0.2623798959371203,0.4505002632964718,0.10994272035564674,0.9999994245851391,4.1726749188453055e-07,0.5759523450144356,0.9995057166875574,149.2105557039551,0.00016480185142582387,0.2981609799488528,1.0,0.09102988526520113,0.33917146654707536,0.49596178235882005
8,1.2563836695503432,1.107173727223884,1.077750903255894e-06,0.14920886457555604,0.3193786203264876,0.2665847665847666,0.3090402232819452,0.259236313591888,0.4505002632964718,0.10994272035564674,0.9999994246160288,4.17245089012475e-07,0.5759523450144356,0.9994518829955434,149.20886457555605,0.00018275581637022733,0.2862734267484707,1.0,0.08577384047296702,0.3376418940049774,0.499286191352827
9,1.252364620967132,1.103156372208273,1.0753080819810337e-06,0.14920717345077705,0.32319641916798314,0.2628992628992629,0.3117866034752978,0.25727059006900627,0.4505002632964718,0.10994272035564674,0.9999994244827007,4.1734175337453924e-07,0.5759523450144356,0.9996837755885861,149.20717345077705,0.00010542482429732464,0.27512975472656065,1.0,0.07960960953397984,0.33622401117828093,0.5026588223469632
10,1.248650469656182,1.0994439067229287,1.080603877498586e-06,0.14920548232937586,0.3291205897840969,0.257985257985258,0.3158196000638624,0.25457102363202316,0.4505002632964718,0.10994272035564674,0.9999994247739487,4.1713060380874123e-07,0.5759523450144356,0.9991774125195838,149.20548232937585,0.000274308717775708,0.2646787955019903,1.0,0.0717731118398693,0.3349085303247694,0.506058272505291
11,1.2452113475471525,1.0960064794763131,1.0768591374809763e-06,0.1492037912117019,0.3338599262769879,0.2536855036855037,0.3187870478700955,0.2513066324557714,0.4505002632964718,0.10994272035564674,0.9999994244773858,4.1734562813354394e-07,0.5759523450144356,0.9996928496020011,149.2037912117019,0.00010239920615203069,0.2548721538957946,1.0,0.06551114538625401,0.3336868991074743,0.509452520896594
12,1.2420207298060626,1.0928175465069214,1.08320161471223e-06,0.1492021000975266,0.33912585571353343,0.24907862407862408,0.3217403550373767,0.24818320710954478,0.3512374934175882,0.1688073394495413,0.9999994247246142,4.171663354599694e-07,0.5759523450144356,0.9992633924745817,149.2021000975266,0.0002456263358483877,0.2456642303981239,1.0,0.059054213510585755,0.3325512639191925,0.5127827560713203
13,1.2390549787204805,1.0898534878334518,1.0818999097212028e-06,0.14920040898711895,0.3441284886782517,0.24508599508599507,0.32326354391567197,0.2454641912258557,0.4505002632964718,0.10994272035564674,0.9999994244447663,4.173692680587113e-07,0.5759523450144356,0.9997496666163458,149.20040898711895,8.34549188227918e-05,0.2370122051534306,1.0,0.05316130807790086,0.3314944290531869,0.5160134259311525
14,1.2362930742287885,1.087093275207562,1.0811410706195316e-06,0.14919871788015596,0.35018430753027907,0.24262899262899262,0.32675941086022364,0.24339766150950912,0.4505002632964718,0.10994272035564674,0.9999994248342766,4.170868382539204e-07,0.5759523450144356,0.9990727719871468,149.19871788015595,0.0003092193894440821,0.2288759975884019,1.0,0.046494049195555935,0.3305098136819809,0.5190785346176453
15,1.2337162693023886,1.0845181671825281,1.0753431924823432e-06,0.149197026776668,0.3551869404949974,0.23863636363636365,0.3294351575468606,0.23994674768990631,0.4505002632964718,0.10994272035564674,0.9999994245065944,4.1732447280649057e-07,0.5759523450144356,0.9996421273081528,149.197026776668,0.00011931225778290076,0.2212182100836211,1.0,0.04112791414432351,0.32959140811138793,0.5219598597858032
16,1.2313078655511767,1.082111448782136,1.0810925265962736e-06,0.14919533567651413,0.35676671932596105,0.2328009828009828,0.3283953092217997,0.23435716363356107,0.4505002632964718,0.10994272035564674,0.9999994245401125,4.173001569625575e-07,0.5759523450144356,0.9995839044849132,149.19533567651413,0.00013872737452239758,0.214004044563247,1.0,0.03939969602598466,0.32873373039952913,0.5246673557762728
17,1.2290529133548984,1.0798581917207413,1.0770541677286162e-06,0.14919364457998943,0.3604528699315429,0.22727272727272727,0.3291127859483667,0.22898483564925542,0.4505002632964718,0.10994272035564674,0.9999994244128352,4.173924340644797e-07,0.5759523450144356,0.999805098213221,149.19364457998944,6.497359694941225e-05,0.20720121194194607,1.0,0.03576027850304319,0.3279317841854208,0.5272434034259279
18,1.2269380799377767,1.0777450493560325,1.077094818945338e-06,0.14919195348692532,0.3665086887835703,0.22665847665847666,0.331570752572237,0.228620479882935,0.4505002632964718,0.10994272035564674,0.9999994248342251,4.170868596602351e-07,0.5759523450144356,0.9990728825882873,149.1919534869253,0.00030918249004161327,0.20077981037237025,1.0,0.030056385476628214,0.32718101825892276,0.5296455123557657
19,1.2249514184779124,1.0757600696867073,1.0863938081463259e-06,0.14919026239739677,0.37072143233280674,0.2291154791154791,0.33271328094363,0.23104653810844966,0.4505002632964718,0.10994272035564674,0.9999994246123044,4.1724776450331057e-07,0.5759523450144356,0.9994585494736578,149.19026239739676,0.00018053239951497057,0.1947122164295778,1.0,0.028172594317781414,0.3264772883311999,0.5319409924115198
20,1.2230821822900573,1.073892537721706,1.0732565938788883e-06,0.14918857131175756,0.3750658241179568,0.22573710073710074,0.333953744728735,0.2275760640183292,0.4505002632964718,0.10994272035564674,0.9999994247010816,4.1718343754121997e-07,0.5759523450144356,0.9993041754226185,149.18857131175756,0.00023202225986057498,0.1889729493598281,1.0,0.025558080129499665,0.3258168211347659,0.5340805710251468
21,1.221320790782348,1.0721328291866612,1.0813665769858248e-06,0.14918688022910975,0.3791469194312796,0.22727272727272727,0.33438038794105823,0.22917125152810014,0.4505002632964718,0.10994272035564674,0.999999424796925,4.171139325642144e-07,0.5759523450144356,0.9991376302860873,149.18688022910976,0.00028758058957661193,0.18353855201552624,1.0,0.022491227420473048,0.3251961810515232,0.5361314221159105
22,1.219658553194423,1.070472286322287,1.077721872485822e-06,0.14918518915026346,0.38388625592417064,0.22512285012285013,0.33530506919955183,0.22683958821631942,0.4505002632964718,0.10994272035564674,0.9999994246573993,4.1721514466086923e-07,0.5759523450144356,0.9993799550855673,149.18518915026345,0.0002067457688940383,0.17838744505142543,1.0,0.0213185383746657,0.3246122392137421,0.5380766739343766
23,1.2180876820100703,1.0689031078975155,1.0760377200907767e-06,0.1491834980748347,0.3888888888888889,0.22297297297297297,0.33650191954232667,0.22460468523343735,0.4505002632964718,0.10994272035564674,0.9999994244728172,4.1734898514123887e-07,0.5759523450144356,0.9997008015166294,149.1834980748347,9.974776881201276e-05,0.17349981352387692,1.0,0.020025817482324952,0.3240621451305677,0.5398967817618102
24,1.2166011396267893,1.0674182515499435,1.0810739920553246e-06,0.1491818070028537,0.3950763559768299,0.2232800982800983,0.33987327822198776,0.22469268353140617,0.4505002632964718,0.10994272035564674,0.9999994244516306,4.173642321329452e-07,0.5759523450144356,0.9997377747612939,149.18180700285367,8.741989418003564e-05,0.1688574651341479,1.0,0.01893158510791219,0.32354330065025416,0.5416734099859194
25,1.2151925407165196,1.0660113480707438,1.0767111464705535e-06,0.1491801159346294,0.3988941548183254,0.22297297297297297,0.3396812804363742,0.2240924347170219,0.4505002632964718,0.10994272035564674,0.9999994244708202,4.173503885875094e-07,0.5759523450144356,0.999704335050136,149.1801159346294,9.856955795122771e-05,0.1644437142840553,1.0,0.0143501785397437,0.3230533362416267,0.5433516985891108
26,1.2138561324251802,1.064676626746221,1.0808092843135704e-06,0.1491784248696749,0.39942074776198,0.21928746928746928,0.3365569062331977,0.2200960901397542,0.4505002632964718,0.10994272035564674,0.9999994244896543,4.1733671212623066e-07,0.5759523450144356,0.9996715999518794,149.1784248696749,0.00010948466705630266,0.16024326208186504,1.0,0.01780261835736143,0.32259008939290323,0.5449630842307959
27,1.2125866602989364,1.063408849228011,1.0772625412253152e-06,0.14917673380838437,0.4013954713006846,0.2195945945945946,0.3344827803805341,0.22022461559806028,0.35413375460768826,0.17203864044394615,0.9999994244415107,4.1737165081202623e-07,0.5759523450144356,0.9997552430746816,149.17673380838437,8.15956296563723e-05,0.15624208225664812,1.0,0.019960966470674305,0.32215158501415975,0.5465020645509241
28,1.2113793713274386,1.0622032517441173,1.0768328554783575e-06,0.14917504275046573,0.40337019483938913,0.21867321867321868,0.3318543204541484,0.21894312962333715,0.4505002632964718,0.10994272035564674,0.9999994244911112,4.173357075621696e-07,0.5759523450144356,0.9996689856326425,149.17504275046574,0.00011035639456702777,0.15242731556451164,1.0,0.018320290914456902,0.3217360176900375,0.547988281136453
29,1.2102299256226359,1.0610554935869752,1.0803395583661236e-06,0.14917335169610244,0.4060031595576619,0.21713759213759215,0.3330308168468859,0.2171647449528067,0.4505002632964718,0.10994272035564674,0.9999994246428349,4.1722568193481355e-07,0.5759523450144356,0.9994054076384878,149.17335169610243,0.00019825641741433132,0.14878716875602518,1.0,0.018823277593357297,0.32134173562924706,0.5494010914444948
30,1.209134341915029,1.0599616120277542,1.069241884936882e-06,0.14917166064538998,0.40784623486045285,0.21928746928746928,0.33220684123895367,0.2191501360900776,0.4505002632964718,0.10994272035564674,0.999999424646193,4.1722320544457605e-07,0.5759523450144356,0.999399542493943,149.17166064538998,0.0002002126511967359,0.14531082489170388,1.0,0.018534231863002393,0.32096722617468487,0.5507556066822267
31,1.2080890337538683,1.058917983088453,1.081067521516251e-06,0.14916996959789375,0.40968931016324384,0.2199017199017199,0.3307009106146817,0.21943648268269808,0.4505002632964718,0.10994272035564674,0.9999994244010837,4.1740091642831164e-07,0.5759523450144356,0.9998255776860112,149.16996959789375,5.814584700673903e-05,0.1419883536535887,1.0,0.01909164071546515,0.32061110272093873,0.5520697181182812
32,1.2070906407216455,1.0579212873626591,1.0748047295783136e-06,0.14916827855425682,0.41034755134281203,0.21928746928746928,0.3280113485117116,0.21854038444182736,0.4505002632964718,0.10994272035564674,0.9999994246982179,4.1718551186082144e-07,0.5759523450144356,0.9993090837163657,149.16827855425683,0.00023038505400215062,0.1388106303288166,1.0,0.018565982874767836,0.3202720929314035,0.5533545156564891
33,1.2061361389638778,1.0569684762408285,1.07520911089977e-06,0.14916658751393855,0.41311216429699843,0.21683046683046683,0.3288221505447835,0.21559639358961324,0.4505002632964718,0.10994272035564674,0.9999994244639265,4.1735541503525956e-07,0.5759523450144356,0.9997162521595667,149.16658751393854,9.459603810280292e-05,0.1357692688078773,1.0,0.017044120253989596,0.3199490281197266,0.5545723336243722
34,1.205222725934846,1.0560567485450292,1.0809126914094554e-06,0.14916489647712555,0.41627172195892576,0.21713759213759215,0.32949676890412527,0.21572015489704746,0.4505002632964718,0.10994272035564674,0.9999994244850441,4.1734015781290185e-07,0.5759523450144356,0.999679478806858,149.16489647712555,0.00010685755171020897,0.13285654494102828,1.0,0.01696992470764082,0.3196408336741343,0.555752271829698
35,1.2043478081410595,1.055183523471975,1.0792249893413368e-06,0.14916320544409506,0.41706161137440756,0.21652334152334152,0.3283396205243115,0.2148197276974224,0.4505002632964718,0.10994272035564674,0.9999994246305816,4.172346019015604e-07,0.5759523450144356,0.9994266521874856,149.16320544409507,0.00019117078929382813,0.1300653440781169,1.0,0.01657991935934665,0.319346520450161,0.5569076823979484
36,1.2035090116374438,1.054346419997365,1.077225506112367e-06,0.1491615144145727,0.4192996313849394,0.2159090909090909,0.32907645053245865,0.21422069878588434,0.4505002632964718,0.10994272035564674,0.9999994246314545,4.172338470801809e-07,0.5759523450144356,0.999425321864307,149.1615144145727,0.00019161446834005524,0.1273890965293326,1.0,0.011276714919254726,0.31906517699970516,0.5580162766389422
37,1.2027041477720417,1.053543238496555,1.0858870399961818e-06,0.14915982338844658,0.42101105845181674,0.21468058968058967,0.3293749252692599,0.2128714440432854,0.4505002632964718,0.10994272035564674,0.9999994246266845,4.1723732092447226e-07,0.5759523450144356,0.9994335482315476,149.15982338844657,0.00018887076231337925,0.12482173372562873,1.0,0.011026449198050613,0.3187959625868208,0.5590780650121857
38,1.2019311580503564,1.0527719436216854,1.082062465043951e-06,0.14915813236620623,0.42377567140600314,0.21468058968058967,0.33022980355728154,0.2126997907156379,0.4505002632964718,0.10994272035564674,0.9999994249491769,4.170034589702751e-07,0.5759523450144356,0.9988732140076685,149.15813236620622,0.00037580712871783866,0.12235763957802252,1.0,0.011852384639018325,0.3185381008797045,0.5601055007380921
39,1.2011881642310254,1.0520306474894452,1.075394321391867e-06,0.1491564413472587,0.42377567140600314,0.21283783783783783,0.3284295887945523,0.21059161698389794,0.4505002632964718,0.10994272035564674,0.9999994244288087,4.1738084824192526e-07,0.5759523450144356,0.9997773329060803,149.1564413472587,7.423063025476453e-05,0.11999160365970486,1.0,0.011149060701455053,0.31829087426658187,0.5610869990650958
40,1.20047342831733,1.0513176005246974,1.0774610655468489e-06,0.1491547503315672,0.42430226434965773,0.21283783783783783,0.32741298593946166,0.21046087990157722,0.4505002632964718,0.10994272035564674,0.9999994243809869,4.174154737005914e-07,0.5759523450144356,0.9998605072058551,149.1547503315672,4.65008488221194e-05,0.1177187909539074,1.0,0.010881921985111164,0.3180536187362674,0.5620555652959004
