ep,L_total,L_data,L_human,L_kl,acc_tr,acc_va,f1_tr,f1_va,acc_h_tr,f1_h_va,lam_mean,lam_std,rho_mean,c_mean,kl,post_var_mean,grad_norm,grad_scale,ece_tr,brier_tr,auc_tr_ovo
1,1.2633421444412003,1.1141203416092311,1.100284631137059e-06,0.14922070254733807,0.3551779935275081,0.3428751179616232,0.35446592623033185,0.3238061803719983,0.36016720604099245,0.19444444444444445,0.9999994377305543,4.176451364750658e-07,0.563002268706463,0.9991341365129076,149.22070254733808,0.00028874622553375296,0.1587985552369969,1.0,0.06695210364606552,0.33822767533264597,0.5273893346125619
2,1.2620971729375023,1.1128770616727257,1.0998675626513996e-06,0.14921901139721405,0.3573354908306365,0.34256055363321797,0.3566812267755992,0.32433389511128463,0.31903991370010787,0.15487402398776465,0.9999994374181447,4.1787714535215135e-07,0.563002268706463,0.9996897163831383,149.21901139721405,0.00010344394044363608,0.15438602866894166,1.0,0.06325018132861412,0.3378149547753249,0.5280309221768813
3,1.2609201343206826,1.1117017149531343,1.0991169030912197e-06,0.14921732025064527,0.3580097087378641,0.34696445423089023,0.3574512667809058,0.32948654560119733,0.36016720604099245,0.19444444444444445,0.9999994377618175,4.1762190496295266e-07,0.563002268706463,0.9990786332843874,149.21732025064526,0.0003072638461435821,0.15014797344887634,1.0,0.06110871749128577,0.33742455975513763,0.5286793846597398
4,1.2598065547340664,1.1105898253825388,1.1002439510296336e-06,0.14921562910757652,0.35908845738942824,0.35262661214218305,0.358640127669718,0.3361818709940914,0.36016720604099245,0.19444444444444445,0.9999994374300886,4.178682911635221e-07,0.563002268706463,0.9996686128220853,149.21562910757652,0.00011048073287150164,0.146075344291096,1.0,0.05863239939838657,0.33705505947839165,0.5293331893673741
5,1.2587523025544138,1.1095372652035742,1.0993828985973448e-06,0.14921393796794105,0.3581445523193096,0.35294117647058826,0.3576581378405433,0.3372731737282743,0.36016720604099245,0.19444444444444445,0.9999994374207278,4.1787523402166933e-07,0.563002268706463,0.9996852080632705,149.21393796794104,0.00010494717356936088,0.14215971348649112,1.0,0.05825109297746188,0.33670512877013187,0.5299458710682768
6,1.2577535666884798,1.1085402197915373,1.1000650845679771e-06,0.1492122468318579,0.3580097087378641,0.354513998112614,0.3574819872161392,0.3385146309462048,0.36016720604099245,0.19444444444444445,0.9999994374321791,4.1786674133638056e-07,0.563002268706463,0.999664761150441,149.2122468318579,0.00011176502144231469,0.13839321506622024,1.0,0.05712663620289153,0.33637353911865536,0.5305847985692659
7,1.2568068168932254,1.1075951616161503,1.0995777791074728e-06,0.14921055569929598,0.35760517799352753,0.3592324630386914,0.3571299431219794,0.3429829152132217,0.36016720604099245,0.19444444444444445,0.9999994375209892,4.178007610060718e-07,0.563002268706463,0.9995068039929681,149.21055569929598,0.00016443926711028214,0.13476849615106756,1.0,0.056330424607970296,0.3360591505986374,0.5312152364489006
8,1.2559087883582698,1.10669882463178,1.099156227300733e-06,0.14920886457026258,0.3586839266450917,0.3620635419943378,0.3581625422693491,0.3458240272864505,0.36016720604099245,0.19444444444444445,0.9999994375489144,4.177800123705028e-07,0.563002268706463,0.9994574193730937,149.2088645702626,0.00018090933554578317,0.13127867099613127,1.0,0.05411162877688187,0.33576090457206426,0.531821328190554
9,1.255056457103692,1.1058481820882082,1.1015707336883614e-06,0.14920717344474999,0.35949298813376485,0.362378106322743,0.35879174396792407,0.34660903804550314,0.36016720604099245,0.19444444444444445,0.999999437421394,4.178747338742077e-07,0.563002268706463,0.9996838067450927,149.20717344474997,0.00010541446464168246,0.12791728335356503,1.0,0.05214192947773997,0.3354778170852459,0.5324409665752369
10,1.2542470075064989,1.1050404269847804,1.0981989436816364e-06,0.14920548232277453,0.3604368932038835,0.36111984900912236,0.3594653007790361,0.3455026114695741,0.36016720604099245,0.19444444444444445,0.9999994377037236,4.1766505265460464e-07,0.563002268706463,0.9991822349526845,149.20548232277451,0.0002726999200691684,0.12467827061604954,1.0,0.05017386262555147,0.33520897287889645,0.5330666918158019
