ep,L_total,L_data,L_human,L_kl,acc_tr,acc_va,f1_tr,f1_va,acc_h_tr,f1_h_va,lam_mean,lam_std,rho_mean,c_mean,kl,post_var_mean,grad_norm,grad_scale,ece_tr,brier_tr,auc_tr_ovo
1,1.2842728835568022,0.7144914659687592,0.4205607150407051,0.14922070254733807,0.295550289626119,0.2976044226044226,0.2890302587898899,0.2742008667914238,0.370984728804634,0.19451943968535038,0.6227967529935771,0.01612134617547714,0.9421157132275346,0.9986577351129292,149.22070254733808,0.00022386111751825213,0.24197770349454337,1.0,0.13769587507772257,0.3513124281804117,0.48074272014236125
2,1.2799934683483278,0.7116022699030479,0.41917186295030934,0.14921933549497068,0.2976566614007372,0.29821867321867324,0.2910598199570556,0.2756957708276853,0.4505002632964718,0.10994272035564674,0.6227967777131045,0.016121394888114718,0.9421157132275346,0.9986575982359822,149.2193354949707,0.00022388393543522545,0.2353207663626287,1.0,0.13225407369650233,0.3497840573940675,0.4818732314312497
3,1.2764717025262367,0.7087409737601947,0.4185128220611239,0.149217906704918,0.2989731437598736,0.29576167076167076,0.29213335055244255,0.2741510624923748,0.4505002632964718,0.10994272035564674,0.622682297637588,0.01611886055960678,0.9421157132275346,0.9993246923826423,149.217906704918,0.00011258930178249385,0.22877287686285958,1.0,0.12777225245023885,0.3483264871198971,0.48311779685445533
4,1.2737014798569017,0.706231570377259,0.4182534497298893,0.14921645974975334,0.30042127435492366,0.2933046683046683,0.29328722578186783,0.2729315563248686,0.4505002632964718,0.10994272035564674,0.6227455018073923,0.01612025354205813,0.9421157132275346,0.9989563121919101,149.21645974975334,0.00017403885241910698,0.2223416918346019,1.0,0.12333008545222394,0.3469373360765878,0.48443919460891993
5,1.2716032766472398,0.7039323771446042,0.41845589529650845,0.14921500420612716,0.30028962611901,0.29207616707616707,0.2929845204407555,0.2725360643849464,0.4505002632964718,0.10994272035564674,0.6228698562973619,0.016123046076152576,0.9421157132275346,0.9982320910604275,149.21500420612716,0.00029491230519170284,0.21638958109344666,1.0,0.12064618052243523,0.3456142851521851,0.48587781596375884
6,1.269953373360888,0.7016084746871601,0.41913134496327303,0.14921355371045497,0.30173775671406006,0.2883906633906634,0.2942375359979283,0.27019765654555544,0.4505002632964718,0.10994272035564674,0.6228580394623566,0.01612273167224195,0.9421157132275346,0.9983008704753438,149.21355371045496,0.0002834291272008407,0.2105058566129561,1.0,0.11654416259967425,0.34435276354902494,0.4874274599863832
7,1.268276991665577,0.6993321539758537,0.41973265547758803,0.14921218221213528,0.30463401790416006,0.28593366093366096,0.29690611387649485,0.2700242520077801,0.4505002632964718,0.10994272035564674,0.6227788875962954,0.016120964525871972,0.9421157132275346,0.9987618005926252,149.21218221213527,0.00020649445578489671,0.2050589854948858,1.0,0.11116118406634723,0.3431507487341471,0.48908190628575227
8,1.2647541497794854,0.6971919881195329,0.41835134022247544,0.1492108214374769,0.3076619273301738,0.28040540540540543,0.29931972907858356,0.2660801628719619,0.4505002632964718,0.10994272035564674,0.6227202346042351,0.016119662979073454,0.9421157132275346,0.9991035526350843,149.2108214374769,0.0001494749259270246,0.19968768130593925,1.0,0.10580903580134149,0.34200427473344774,0.4908295039138742
9,1.262331387909944,0.69529372830216,0.41782825938989515,0.1492094002178889,0.30963665086887837,0.27794840294840295,0.30089579709078257,0.26579832861451685,0.4505002632964718,0.10994272035564674,0.6227821835953219,0.016121029909220323,0.9421157132275346,0.9987425987417163,149.20940021788888,0.00020969876461503643,0.19439577580359568,1.0,0.10166218986987492,0.34091121953659237,0.49265595152149055
10,1.261442062369816,0.6935180231503679,0.41871606033666087,0.14920797888278708,0.31305950500263297,0.2724201474201474,0.3038865803638929,0.261799729206801,0.4505002632964718,0.10994272035564674,0.6228633495636996,0.016122854105522357,0.9421157132275346,0.9982699607527852,149.20797888278707,0.0002885895972840338,0.18946530781727455,1.0,0.09622220508128487,0.33986964018820665,0.49460185616393265
