ep,L_total,L_data,L_human,L_kl,acc_tr,acc_va,f1_tr,f1_va,acc_h_tr,f1_h_va,lam_mean,lam_std,rho_mean,c_mean,kl,post_var_mean,grad_norm,grad_scale,ece_tr,brier_tr,auc_tr_ovo
1,1.271630845770187,0.6948849872949927,0.42752515592785645,0.14922070254733807,0.3551779935275081,0.34381881094683864,0.35446592623033185,0.3244845365016615,0.3263214670981661,0.16906491202838103,0.6236683545323909,0.018528951499763767,0.9383793794702279,0.9986566575307322,149.22070254733808,0.00022404097635770283,0.09893513065822647,1.0,0.06695210364606552,0.33822767533264597,0.5273893346125619
2,1.2709991077110592,0.6943995411013227,0.4273805687330419,0.1492189978766944,0.35625674217907227,0.3422459893048128,0.3556241637291091,0.32325567831741164,0.36016720604099245,0.19444444444444445,0.6236683036889826,0.018528868271527416,0.9383793794702279,0.998656938267662,149.2189978766944,0.00022399407664587173,0.09729896327540938,1.0,0.06490524819542738,0.3379691670785325,0.5277817780241641
3,1.2704034380490972,0.6938029433026348,0.42738322094754005,0.14921727379892244,0.35827939590075514,0.34381881094683864,0.3576543573409361,0.32545048899944085,0.36016720604099245,0.19444444444444445,0.6235537484930241,0.018527046525571127,0.9383793794702279,0.9993240322527921,149.21727379892243,0.00011269939477449105,0.09557653668857166,1.0,0.06194671610982237,0.3377192123122755,0.528186968834094
4,1.269888865847532,0.6934204765410288,0.42725284533439534,0.14921554397210782,0.35774002157497303,0.34507706826045925,0.35715111667121296,0.32723381689386966,0.36016720604099245,0.19444444444444445,0.6236170672871164,0.018528066536328783,0.9383793794702279,0.9989552276527206,149.2155439721078,0.00017421980223568774,0.0939127176753698,1.0,0.061578769204510095,0.3374778248760497,0.528589371657655
5,1.2696694149692778,0.6931215436993415,0.42733405513456374,0.14921381613537246,0.35908845738942824,0.34696445423089023,0.35860398642088304,0.3297759231953507,0.36016720604099245,0.19444444444444445,0.623741654309441,0.018529954860630814,0.9383793794702279,0.9982301047603949,149.21381613537247,0.0002952439262355926,0.09234937569340022,1.0,0.05934922154850465,0.3372446121070379,0.5289899114017976
6,1.2691043818979184,0.6926835977565059,0.4272086812373163,0.14921210290409626,0.35881877022653724,0.3501100975149418,0.3583670291965831,0.3333547307440745,0.36016720604099245,0.19444444444444445,0.6237281910660036,0.018529853182857922,0.9383793794702279,0.998308447941172,149.21210290409624,0.00028216408806065214,0.09073521087986737,1.0,0.05876422581869643,0.337019098352837,0.5293913346826485
7,1.2681771478344406,0.6921887693534899,0.42677799798195404,0.14921038049899663,0.3581445523193096,0.3523120478137779,0.3576620805564568,0.3363270627273911,0.36016720604099245,0.19444444444444445,0.6236504639416556,0.018528660551049615,0.9383793794702279,0.9987608007395098,149.2103804989966,0.0002066612990754836,0.08926619305619485,1.0,0.058612836749965314,0.3368012042073749,0.5297692343098122
8,1.2682428928065559,0.6917294216169955,0.42730480928619824,0.1492086619033621,0.3585490830636462,0.35294117647058826,0.3580588730000813,0.3372167478412243,0.36016720604099245,0.19444444444444445,0.6235926254627394,0.018527749182756986,0.9383793794702279,0.9990975868985887,149.2086619033621,0.00015047010333560192,0.08776205894766598,1.0,0.057409485364485494,0.3365903392305182,0.5301546402143894
9,1.267925388636567,0.6914145437856197,0.42730391291243547,0.1492069319385117,0.3580097087378641,0.35514312676942433,0.357482868405822,0.33978708398945406,0.36016720604099245,0.19444444444444445,0.6236532488261918,0.01852872978579049,0.9383793794702279,0.9987445924137919,149.2069319385117,0.00020936608059011818,0.08630732304760586,1.0,0.05717398831171125,0.33638641259985747,0.5305526569611407
10,1.2673334602826312,0.6911381909858021,0.4269900685520882,0.1492052007447409,0.3580097087378641,0.3576596413966656,0.35758606566695933,0.34155797995757053,0.36016720604099245,0.19444444444444445,0.6237373720558,0.018529985939271732,0.9383793794702279,0.9982550387768953,149.2052007447409,0.0002910809206425749,0.08491296108485316,1.0,0.05642085277656933,0.3361891372447343,0.5309415187160716
11,1.2671312487708863,0.6907368397864829,0.42719092010628845,0.14920348887811505,0.35774002157497303,0.35891789871028623,0.35726958565132283,0.34267468750457414,0.36016720604099245,0.19444444444444445,0.6236979655424396,0.01852928940060536,0.9383793794702279,0.9984842993005829,149.20348887811505,0.00025280844670328746,0.08355663362928392,1.0,0.0559600413277028,0.33599818320899033,0.531342111123324
12,1.2665163230625278,0.6902310678820697,0.42708348321855494,0.14920177196190312,0.357470334412082,0.36111984900912236,0.3569751121215905,0.3450740513702701,0.36016720604099245,0.19444444444444445,0.6235539266923794,0.018527124138380157,0.9383793794702279,0.99932300965717,149.20177196190312,0.00011286993982091203,0.08215907964594055,1.0,0.055522844408921294,0.3358132827092085,0.531705133233538
13,1.2662169664968996,0.6899240416561166,0.4270928845656369,0.14920004027514605,0.35895361380798274,0.36174897766593267,0.358348205663843,0.34555784739542567,0.36016720604099245,0.19444444444444445,0.6235791552987962,0.018527500931085975,0.9383793794702279,0.9991760368618408,149.20004027514605,0.00013738379905442764,0.08078061136301198,1.0,0.05335690553340205,0.33563439249451976,0.5320941439678851
14,1.2661848197887249,0.6896315147481933,0.42735499432353075,0.14919831071700082,0.36003236245954695,0.3608052846807172,0.3592785816955644,0.3450325436905722,0.36016720604099245,0.19444444444444445,0.6236076733068063,0.018527925795682104,0.9383793794702279,0.9990099363581734,149.19831071700082,0.00016509234711056228,0.07958273817998315,1.0,0.051535800450727934,0.33546131085627423,0.5324732990206416
15,1.2663040320568644,0.6894369878127423,0.4276704588323073,0.1491965854118147,0.36030204962243795,0.362378106322743,0.35941233655887,0.3464420891295943,0.36016720604099245,0.19444444444444445,0.6237159672342399,0.018529670634072973,0.9383793794702279,0.9983795712549458,149.19658541181468,0.0002702905167367779,0.07831610569364751,1.0,0.05062673741506545,0.33529346682715155,0.5328590637702312
16,1.2653195845719625,0.6890118189366531,0.4271128965997383,0.14919486903557114,0.36070658036677455,0.3614344133375275,0.3597061446138878,0.34580257296324945,0.36016720604099245,0.19444444444444445,0.6236066448298643,0.01852790936160661,0.9383793794702279,0.9990159240939014,149.19486903557114,0.0001640934091971215,0.07705026213396649,1.0,0.04960239058683129,0.3351309015073922,0.5332475109361591
17,1.264869068579324,0.6886648740504001,0.4270110497849242,0.14919314474399975,0.36151564185544766,0.3639509279647688,0.36032095999678165,0.34762026731426315,0.36016720604099245,0.19444444444444445,0.6235593525083969,0.01852713307416141,0.9383793794702279,0.9992913863361997,149.19314474399974,0.00011814417592813122,0.07580872544498385,1.0,0.04819490418864998,0.3349734584632093,0.5336341628352882
18,1.2646227310757996,0.6884717696532136,0.42695954355390936,0.1491914178686766,0.3628640776699029,0.3645800566215791,0.3615915838060202,0.34791496411126915,0.36016720604099245,0.19444444444444445,0.623643046496256,0.018528596825768955,0.9383793794702279,0.9988039987806149,149.19141786867658,0.0001994529515345023,0.0746231955877426,1.0,0.046267119895713,0.33482095868851447,0.5340089689147897
19,1.2642798358302003,0.6883095078566247,0.4267806305119304,0.1491896974616452,0.3642125134843581,0.3664674425920101,0.36282181185959067,0.3496963807574102,0.36016720604099245,0.19444444444444445,0.6237467395800667,0.018530195120012194,0.9383793794702279,0.9982005575757682,149.1896974616452,0.00030017726491390087,0.07358457765775586,1.0,0.044356877511546856,0.33467315847133444,0.5343768031720834
20,1.2641419881247307,0.6877892263668242,0.42716476242011203,0.14918799933779445,0.3648867313915858,0.36866939289084616,0.3632548607727763,0.3511568897959558,0.36016720604099245,0.19444444444444445,0.6235186509931082,0.018526549202688015,0.9383793794702279,0.9995285557328524,149.18799933779445,7.859257462972601e-05,0.07237185545498248,1.0,0.0431389214955978,0.3345296480168421,0.534750690550725
21,1.2642726381582683,0.687579762162278,0.42750661132475637,0.14918626467123378,0.3655609492988134,0.3721296005033029,0.36364020470047187,0.35428992916356067,0.36016720604099245,0.19444444444444445,0.6235646025573021,0.018527238538723262,0.9383793794702279,0.9992608050079637,149.18626467123377,0.00012324473475356696,0.07131274038059211,1.0,0.04193965240067434,0.3343906618107564,0.5351307579763455
22,1.264125405380971,0.6874361283044612,0.4275047314002739,0.14918454567623576,0.3656957928802589,0.3715004718464926,0.3636010198192255,0.3531248153185478,0.36016720604099245,0.19444444444444445,0.6236633569795301,0.018528817956600763,0.9383793794702279,0.9986857412219208,149.18454567623576,0.00021918721627893207,0.07018559408973173,1.0,0.041299021334017055,0.33425576614657354,0.5355026516484481
23,1.263497897151534,0.6870851804916978,0.42722989549652496,0.14918282116331127,0.36596548004314994,0.37244416483170806,0.36372873120076354,0.35323469028943766,0.36016720604099245,0.19444444444444445,0.6235670357824858,0.018527366109331662,0.9383793794702279,0.9992466447701946,149.18282116331127,0.00012560656343584814,0.06915480982438837,1.0,0.04053818060246115,0.3341250223992248,0.5358657446743271
24,1.262960584364829,0.6867959335439039,0.42698356256293096,0.14918108825799417,0.3667745415318231,0.3733878578169236,0.3644134779578995,0.35365069674502325,0.36016720604099245,0.19444444444444445,0.623520096245824,0.018526589886455027,0.9383793794702279,0.9995201363157681,149.18108825799416,7.99964838530668e-05,0.06817483539884099,1.0,0.03925239864690494,0.33399813479796175,0.5362204740735691
25,1.2630933560590238,0.6866472693562179,0.4272667294574054,0.1491793572454006,0.3674487594390507,0.3740169864737339,0.36478827575064393,0.3537285273236977,0.36016720604099245,0.19444444444444445,0.6235945922779703,0.018527754498901886,0.9383793794702279,0.9990861291383992,149.1793572454006,0.00015238147555242336,0.06712304782770974,1.0,0.03830552093116821,0.3338749072096657,0.5365774003623165
26,1.263273356118183,0.6865934970983578,0.42750222554805334,0.14917763347177174,0.36825782092772386,0.37590437244416486,0.3651323325751137,0.35475485998018613,0.36016720604099245,0.19444444444444445,0.6237490360447151,0.018530054173206356,0.9383793794702279,0.9981871614316857,149.17763347177174,0.0003024140269010583,0.06618106296675033,1.0,0.03705488607734294,0.3337553635273767,0.536934310770122
27,1.262452747544737,0.6862881207363895,0.4269887018642115,0.14917592494413598,0.36879719525350596,0.37621893677257,0.3654433973757631,0.35467324010372875,0.36016720604099245,0.19444444444444445,0.6236692153960854,0.01852895464705956,0.9383793794702279,0.9986516454856956,149.17592494413597,0.00022487741834122514,0.06521196644321905,1.0,0.03608878381756955,0.3336392311990221,0.5372727064819618
28,1.2621980067481753,0.6860370666590719,0.4269867235327268,0.14917421655637647,0.36947141316073356,0.37810632274300093,0.36584691974866895,0.3560034459053509,0.36016720604099245,0.19444444444444445,0.6236329254074345,0.01852829782299483,0.9383793794702279,0.9988628910840394,149.17421655637648,0.00018962599404815926,0.06426865510180449,1.0,0.03500154600245169,0.3335264917150023,0.5376123905892495
29,1.262522727537741,0.6857817323783243,0.4275684863569595,0.14917250880245728,0.3698759439050701,0.37810632274300093,0.3660148633552606,0.35480183197129816,0.36016720604099245,0.19444444444444445,0.6235872530216218,0.018527663617334655,0.9383793794702279,0.9991288744517483,149.1725088024573,0.00014525089234219754,0.06331367228944322,1.0,0.03419785370427582,0.33341699244988277,0.5379542144345998
30,1.2623954094374172,0.6857016905962484,0.42752293139873193,0.14917078744243678,0.37081984897518877,0.3790500157282164,0.3665077851178607,0.3544000034300125,0.36016720604099245,0.19444444444444445,0.6236955117675251,0.0185292026609101,0.9383793794702279,0.9984985672985411,149.1707874424368,0.0002504269219272015,0.062421519861807516,1.0,0.03287275765126854,0.3333106841763554,0.538297318696139
31,1.2617316365102156,0.6854762061658933,0.4270863515269543,0.14916907881736816,0.371898597626753,0.3831393519974835,0.3672931709919256,0.35663011339041245,0.36016720604099245,0.19444444444444445,0.6236664460466878,0.018528754066281645,0.9383793794702279,0.9986677384087754,149.16907881736816,0.00022219173876406726,0.06151557373374292,1.0,0.031426050469342465,0.33320738361792573,0.5386238561429232
32,1.2616335446474443,0.6851515274041203,0.4273146512374058,0.14916736600591812,0.3725728155339806,0.3843976093111041,0.3677017408755922,0.35686763217260603,0.36016720604099245,0.19444444444444445,0.6235420912434407,0.018526875092950954,0.9383793794702279,0.9993919524823877,149.16736600591813,0.00010137208708143275,0.06061892401082815,1.0,0.03039488671045167,0.33310704251083,0.5389539195467178
33,1.261047234249022,0.6849979469354923,0.42688364852713523,0.14916563878639447,0.3727076591154261,0.38597043095312994,0.3673902803196267,0.35731487049888616,0.36016720604099245,0.19444444444444445,0.6235685326674102,0.018527314556130322,0.9383793794702279,0.9992379090414987,149.16563878639445,0.0001270635860304956,0.05977082565035437,1.0,0.02991770694027583,0.3330095786528201,0.5392803120147976
34,1.2615512261164301,0.684909103870381,0.42747821240865214,0.14916390983739686,0.3736515641855448,0.38471217363950927,0.367923873397574,0.3552375466315558,0.36016720604099245,0.19444444444444445,0.6236493144750467,0.01852861205600362,0.9383793794702279,0.9987674856366505,149.16390983739686,0.00020554575946435112,0.05894097791330053,1.0,0.028645938641251575,0.3329148356034922,0.5395965201223065
35,1.2608935120863238,0.6848613469198307,0.42686996982911823,0.14916219533737496,0.3736515641855448,0.388172381251966,0.36759315062531805,0.3564631773697518,0.36016720604099245,0.19444444444444445,0.623763075739366,0.018530346052345624,0.9383793794702279,0.9981055221983598,149.16219533737495,0.00031604580957328676,0.05813111774581457,1.0,0.028329406435056263,0.3328227218627971,0.5399228209397299
36,1.2609420023160203,0.6844396623447508,0.4273418276817103,0.14916051228955918,0.3751348435814455,0.3888015099087763,0.36861685997465504,0.35568904493867626,0.36016720604099245,0.19444444444444445,0.6235319399490361,0.018526705840072107,0.9383793794702279,0.9994511042973433,149.16051228955916,9.150774310402978e-05,0.057332468022876726,1.0,0.026459296103732603,0.3327331456638029,0.5402323659780283
37,1.260741984608432,0.6843748315020989,0.427208359512983,0.14915879359335016,0.3755393743257821,0.3906888958792073,0.3688629892257131,0.3562057728364123,0.36016720604099245,0.19444444444444445,0.6236217095580182,0.018528189545968226,0.9383793794702279,0.9989282095184278,149.15879359335017,0.00017872755249320274,0.056572200504413944,1.0,0.025759674853280765,0.33264602412122185,0.5405445991622159
