ep,L_total,L_data,L_human,L_kl,acc_tr,acc_va,f1_tr,f1_va,acc_h_tr,f1_h_va,lam_mean,lam_std,rho_mean,c_mean,kl,post_var_mean,grad_norm,grad_scale,ece_tr,brier_tr,auc_tr_ovo
1,1.2293046135549308,0.0016732213992551484,1.0784106896083376,0.14922070254733807,0.295550289626119,0.3000614250614251,0.2890302587898899,0.2754957182523233,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.22070254733808,0.0002886626815178474,0.0009560615585097253,1.0,0.13769587507772257,0.3513124281804117,0.48074272014236125
2,1.2355155232149921,0.0016732178110916392,1.084622567333917,0.14921973806998345,0.295550289626119,0.30036855036855037,0.2890302587898899,0.2756940453565903,0.3512374934175882,0.1688073394495413,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.21973806998346,0.00010328340219459782,0.0014813485002124222,1.0,0.13768786950948392,0.3513117236760617,0.4807425501989373
3,1.2310704830803554,0.0016732262560192213,1.0801782397751238,0.1492190170492122,0.295550289626119,0.30036855036855037,0.2890302587898899,0.2756940453565903,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.2190170492122,0.0003049805563456043,0.0006821794866361261,1.0,0.137681495968638,0.3513133507028205,0.48073801242211855
4,1.2245325333707753,0.001673213670098824,1.0736411727500834,0.14921814695059304,0.295550289626119,0.30036855036855037,0.2890302587898899,0.2756940453565903,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.21814695059305,0.00011144658461485435,0.0005197053723486545,1.0,0.13767387312134619,0.35131068810228233,0.48074027563318317
5,1.225564791685765,0.001673204989514522,1.0746745263192663,0.14921706037698423,0.295550289626119,0.3000614250614251,0.2890302587898899,0.2754957182523233,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.21706037698422,0.00010347626168418862,0.0005961604003810269,1.0,0.13766988139572503,0.35130879501319306,0.48074119234768237
6,1.224227358263918,0.0016732015347844969,1.0733381074552284,0.14921604927390514,0.295550289626119,0.3000614250614251,0.2890302587898899,0.2754957182523233,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.21604927390513,0.00011186782680914661,0.001669314608178662,1.0,0.1376697791841109,0.35130780032215536,0.48074048143104164
7,1.2230030485146248,0.0016731702637547271,1.0721148322657286,0.14921504598514163,0.2956819378620327,0.3000614250614251,0.2891856867019302,0.2754957182523233,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.21504598514161,0.00016372435474686512,0.000685269977707991,1.0,0.1375177069008039,0.35130194180167434,0.48074273536047213
8,1.2241350469641579,0.0016731738906543764,1.0732478925610218,0.14921398051248172,0.2956819378620327,0.30036855036855037,0.2891856867019302,0.2756940453565903,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.21398051248173,0.00017915709496375357,0.0013810799788519723,1.0,0.13751603468195295,0.35130240125320683,0.480740516531638
9,1.2210103072994853,0.001673160307737573,1.0701241243326018,0.149213022659146,0.295550289626119,0.30067567567567566,0.2890749780853428,0.2758922719194539,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.213022659146,0.00010562575369006212,0.0006942452112075761,1.0,0.13763396743658732,0.35129970994655535,0.480744198466401
10,1.2261810300947205,0.001673163152525355,1.0752959343409134,0.14921193260128163,0.295550289626119,0.3000614250614251,0.2890749780853428,0.2754957182523233,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.21193260128163,0.00026870492738980875,0.0011316288542365868,1.0,0.1376313294036755,0.3513000877074007,0.4807439271317245
11,1.221594173718106,0.0016731371224682364,1.0707099733064838,0.14921106328915393,0.295550289626119,0.30036855036855037,0.2890762224172323,0.27573682549558887,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.2110632891539,0.00010020009211511021,0.0010897208390471672,1.0,0.1376165248163767,0.35129527116389775,0.48074625964879875
12,1.2269717959072395,0.0016731183828171676,1.0760885162869276,0.14921016123749467,0.295550289626119,0.30067567567567566,0.2890808222019507,0.2759350309489976,0.45023696682464454,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.21016123749467,0.0002501257355001709,0.0011695874661126421,1.0,0.13760309240156032,0.3512917641546918,0.4807474757784514
13,1.2249138573622937,0.0016731176968859268,1.0740312217893375,0.14920951787607045,0.29541864139020535,0.300982800982801,0.2889630170060136,0.27613313598413125,0.4505002632964718,0.10994272035564674,0.0014700304181825567,0.011457694903370404,0.9986076648981089,1.0,149.20951787607044,8.389156372412607e-05,0.0005822029492960973,1.0,0.13772636939169478,0.3512917043412179,0.4807412922783733
