ep,L_total,L_data,L_human,L_kl,acc_tr,acc_va,f1_tr,f1_va,acc_h_tr,f1_h_va,lam_mean,lam_std,rho_mean,c_mean,kl,post_var_mean,grad_norm,grad_scale,ece_tr,brier_tr,auc_tr_ovo
1,1.25151087971844,0.001973091056390757,1.1003170861147114,0.14922070254733807,0.3551779935275081,0.3435042466184335,0.35446592623033185,0.32361934666290504,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.22070254733808,0.00028874622553375296,0.0009192339283062894,1.0,0.06695210364606552,0.33822767533264597,0.5273893346125619
2,1.2504259182527782,0.001973066937358392,1.0992338903651817,0.1492189609502382,0.3551779935275081,0.3435042466184335,0.35446592623033185,0.32361934666290504,0.31903991370010787,0.15487402398776465,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.2189609502382,0.00010334554665127673,0.0010033717910730455,1.0,0.06694685347624114,0.3382272996500413,0.5273877288531662
3,1.2503112624033244,0.0019730424103287024,1.0991209647749434,0.14921725521805218,0.3551779935275081,0.3435042466184335,0.35446592623033185,0.32361934666290504,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.21725521805217,0.00030704886634226673,0.0007358054714997224,1.0,0.06694055150681666,0.3382266552399993,0.5273854550192221
4,1.2507197229302416,0.0019730190713047276,1.099531175375111,0.14921552848382602,0.3551779935275081,0.3435042466184335,0.35446592623033185,0.32361934666290504,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.215528483826,0.00011027428778743895,0.0010747114845021148,1.0,0.06693598782891591,0.33822577866095876,0.5273858535388838
5,1.2498181688598033,0.001972986223331844,1.0986314667523969,0.14921371588407473,0.3551779935275081,0.3435042466184335,0.35446592623033185,0.32361934666290504,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.21371588407473,0.00010545173628129694,0.0009601178512125301,1.0,0.06692913950838553,0.33822439259922715,0.5273863759587073
6,1.2504237861991006,0.0019729578742787805,1.099238893529492,0.14921193479532976,0.3553128371089536,0.3435042466184335,0.35461671832204655,0.32361934666290504,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.21193479532977,0.00011170280556595611,0.0008246420231900743,1.0,0.06678768015280186,0.3382230747704421,0.5273872505630783
7,1.2501124285631033,0.0019729378905309325,1.0989293352852456,0.14921015538732696,0.3553128371089536,0.3435042466184335,0.35461671832204655,0.32361934666290504,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.21015538732695,0.0001648674023144124,0.0008569218630436939,1.0,0.06678550953622542,0.3382225493478544,0.5273876313178062
8,1.2497177479234356,0.001972913274950336,1.098536450175519,0.14920838447296614,0.3553128371089536,0.34381881094683864,0.35461671832204655,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.20838447296615,0.0001823104162652243,0.0009556281235069041,1.0,0.06677946607007511,0.3382218949263443,0.5273885548616329
9,1.2516569456263595,0.0019728884868014424,1.1004774423604164,0.1492066147791416,0.3551779935275081,0.34381881094683864,0.35448318509967197,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.2066147791416,0.00010464545476199257,0.0009076633078801078,1.0,0.06690999931076151,0.33822124790038177,0.5273866647746389
10,1.2491535469274924,0.001972862407085254,1.097975820841356,0.14920486367905123,0.3551779935275081,0.34381881094683864,0.35448318509967197,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.20486367905121,0.00027428522410280606,0.0007104713777305402,1.0,0.06690369427298087,0.3382205369295124,0.5273847539637359
11,1.2489731691645831,0.0019728408451207243,1.0977971711781336,0.14920315714132878,0.3551779935275081,0.34381881094683864,0.35448318509967197,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.20315714132877,0.00010272361493485838,0.0007561140136876371,1.0,0.06690074543368787,0.33821975418536376,0.5273852167607624
12,1.2510207732052625,0.0019728204261694254,1.0998466048253772,0.14920134795371576,0.35504314994606256,0.34381881094683864,0.3543496221374374,0.3240825761383701,0.31903991370010787,0.15487402398776465,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.20134795371575,0.00024380278033828753,0.0008180741298709631,1.0,0.06703238194543977,0.33821932247300335,0.5273848242698742
13,1.2480710224451679,0.0019728009940065167,1.0968985574975125,0.1491996639536489,0.35504314994606256,0.34381881094683864,0.3543455824464378,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.1996639536489,8.391307912244737e-05,0.0006795850468882869,1.0,0.06702785946279975,0.3382190687123214,0.5273839826907699
14,1.2494445286946947,0.0019727794779530474,1.0982738396149023,0.14919790960183915,0.35504314994606256,0.34381881094683864,0.3543455824464378,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.19790960183914,0.0003071546775652778,0.000788578547890441,1.0,0.06702383279463855,0.33821832809863606,0.5273838423555509
15,1.2497849682400677,0.0019727574206704706,1.0986160189819318,0.14919619183746533,0.35504314994606256,0.34381881094683864,0.3543455824464378,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.19619183746534,0.0001227411223465058,0.0011292965695831325,1.0,0.06702100729299706,0.33821748172738597,0.5273852655672304
16,1.2496637766482739,0.0019727387707345755,1.0984966372218166,0.1491944006557227,0.35504314994606256,0.34381881094683864,0.3543666528606703,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.1944006557227,0.0001412485329557412,0.0009411630930989621,1.0,0.0670210007254421,0.33821716892884585,0.5273870878416046
17,1.2487625772736952,0.0019727111062165666,1.097597196314273,0.14919266985320553,0.35504314994606256,0.34381881094683864,0.35436260209604303,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.19266985320553,6.676437871503268e-05,0.0008506511576412822,1.0,0.06701436578682586,0.3382160405086023,0.5273869777499939
18,1.2509219082914191,0.0019726895602795833,1.0997583408505045,0.14919087788063504,0.35504314994606256,0.34381881094683864,0.35436260209604303,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.19087788063504,0.0003062903798526109,0.0007500082203810125,1.0,0.0670114094770941,0.3382155508718253,0.527387944204503
19,1.2480886171436307,0.0019726664350303907,1.096926802278568,0.14918914843003236,0.35504314994606256,0.34381881094683864,0.35436260209604303,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.18914843003236,0.0001801591626536243,0.0006919860530781034,1.0,0.06700617473635072,0.33821485355099745,0.52738784160453
20,1.2507171986837031,0.0019726483224991958,1.0995570714970626,0.1491874788641415,0.35504314994606256,0.34381881094683864,0.35436260209604303,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.1874788641415,0.00023608015434605674,0.000958571399716721,1.0,0.06700420244070045,0.3382143177448036,0.5273891134208508
21,1.249623729707089,0.0019726202038192467,1.098465382363303,0.1491857271399666,0.3551779935275081,0.34381881094683864,0.35452801444480886,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.18572713996662,0.0002838236204162955,0.000860660126003088,1.0,0.0668628083298044,0.33821355393208147,0.5273883368505433
22,1.249625662617433,0.0019725951499170685,1.098469032908629,0.14918403455888685,0.3551779935275081,0.34381881094683864,0.35452801444480886,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.18403455888685,0.00020592931082838943,0.0008993212922627213,1.0,0.06685987007289387,0.3382122534806674,0.5273920342397186
23,1.2490765763719927,0.001972570951649066,1.0979217149638998,0.14918229045644377,0.3551779935275081,0.34381881094683864,0.3545249046575609,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.18229045644375,0.0001021115301586119,0.0008675383295583308,1.0,0.06685554700420501,0.3382117301751509,0.5273918633284219
24,1.248777620013858,0.0019725491954721286,1.0976245502951976,0.14918052052318834,0.35504314994606256,0.34381881094683864,0.3543911740847921,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.18052052318833,8.49575592965468e-05,0.0007565124930680093,1.0,0.06698722869329853,0.3382113826711264,0.527392240004862
25,1.2488138400662048,0.001972525684537844,1.0976625297237046,0.1491787846579624,0.35504314994606256,0.34381881094683864,0.3543911740847921,0.3240825761383701,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.17878465796238,0.00010011729625776035,0.0009031653146148453,1.0,0.06698272298125581,0.33821038771577444,0.5273919642217201
26,1.2491341374818352,0.001972504198621473,1.0979846137899625,0.1491770194932513,0.35504314994606256,0.3441333752752438,0.3543911740847921,0.3243134898357085,0.36016720604099245,0.19444444444444445,0.001742786058915963,0.02008196008211059,0.9982493614236774,1.0,149.1770194932513,0.00010524102018890941,0.0009067136416680175,1.0,0.06697850543931723,0.3382101962129149,0.5273901943444805
